City/Town,State,Score
union springs,Alabama,108
union springs,Alabama,108
pocahontas,Arkansas,148
pocahontas,Arkansas,105
pocahontas,Arkansas,154
pocahontas,Arkansas,220
eureka springs,Arkansas,107
eureka springs,Arkansas,103
eureka springs,Arkansas,174
eureka springs,Arkansas,212
helena,Arkansas,135
helena,Arkansas,117
helena,Arkansas,259
helena,Arkansas,326
osceola,Arkansas,104
osceola,Arkansas,92
osceola,Arkansas,371
osceola,Arkansas,242
ocilla,Georgia,99
ocilla,Georgia,96
blue ridge,Georgia,114
blue ridge,Georgia,108
hawkinsville,Georgia,201
hawkinsville,Georgia,176
hawkinsville,Georgia,372
arkansas city,Kansas,107
arkansas city,Kansas,100
arkansas city,Kansas,178
arkansas city,Kansas,334
moundridge,Kansas,116
moundridge,Kansas,107
moundridge,Kansas,219
la crosse,Kansas,104
la crosse,Kansas,88
marion,Kentucky,92
marion,Kentucky,91
napoleonville,Louisiana,85
napoleonville,Louisiana,82
napoleonville,Louisiana,190
sturgis,Michigan,104
sturgis,Michigan,58
sturgis,Michigan,232
mahnomen,Minnesota,87
mahnomen,Minnesota,58
mahnomen,Minnesota,163
mahnomen,Minnesota,182
richton,Mississippi,82
richton,Mississippi,77
richton,Mississippi,202
bonne terre,Missouri,130
bonne terre,Missouri,120
bonne terre,Missouri,366
friend,Nebraska,110
friend,Nebraska,98
friend,Nebraska,250
santa rosa,New Mexico,126
santa rosa,New Mexico,126
perry,Oklahoma,112
perry,Oklahoma,102
perry,Oklahoma,289
blackwell,Oklahoma,103
blackwell,Oklahoma,99
blackwell,Oklahoma,220
buffalo,Oklahoma,57
buffalo,Oklahoma,56
hobart,Oklahoma,100
hobart,Oklahoma,96
ashland city,Tennessee,86
ashland city,Tennessee,78
ashland city,Tennessee,150
ashland city,Tennessee,205
anson,Texas,73
anson,Texas,67
