County,State,Poverty Rate
baldwin,Alabama,7.2
calhoun,Alabama,16.4
cullman,Alabama,11.3
dekalb,Alabama,18.8
elmore,Alabama,8.7
etowah,Alabama,13.2
houston,Alabama,13.4
jefferson,Alabama,9.8
lauderdale,Alabama,7.5
lee,Alabama,9.9
limestone,Alabama,9.3
madison,Alabama,6.5
marshall,Alabama,12.2
mobile,Alabama,11.6
montgomery,Alabama,14.8
morgan,Alabama,8.6
st. clair,Alabama,6.5
shelby,Alabama,4.4
talladega,Alabama,13.9
tuscaloosa,Alabama,9.4
walker,Alabama,13.6
anchorage,Alaska,4.7
fairbanks north star,Alaska,3.1
matanuska-susitna,Alaska,5.6
apache,Arizona,25.2
cochise,Arizona,9.8
coconino,Arizona,7.5
maricopa,Arizona,6.8
mohave,Arizona,9.9
navajo,Arizona,19.5
pima,Arizona,8.4
pinal,Arizona,7.3
yavapai,Arizona,5.0
yuma,Arizona,13.3
benton,Arkansas,5.3
craighead,Arkansas,16.9
faulkner,Arkansas,9.7
garland,Arkansas,10.1
jefferson,Arkansas,19.2
lonoke,Arkansas,8.0
pulaski,Arkansas,11.8
saline,Arkansas,8.8
sebastian,Arkansas,7.4
washington,Arkansas,8.0
white,Arkansas,17.1
alameda,California,5.4
butte,California,13.6
contra costa,California,6.3
el dorado,California,5.7
fresno,California,15.3
humboldt,California,10.7
imperial,California,16.0
kern,California,15.1
kings,California,9.0
lake,California,18.4
los angeles,California,9.8
madera,California,14.9
marin,California,5.1
mendocino,California,5.6
merced,California,14.0
monterey,California,11.1
napa,California,2.9
nevada,California,5.8
orange,California,6.9
placer,California,4.6
riverside,California,7.2
sacramento,California,8.4
san benito,California,6.3
san bernardino,California,9.9
san diego,California,6.7
san francisco,California,5.6
san joaquin,California,10.9
san luis obispo,California,6.6
san mateo,California,3.9
santa barbara,California,11.7
santa clara,California,4.2
santa cruz,California,6.2
shasta,California,10.3
solano,California,7.2
sonoma,California,4.2
stanislaus,California,10.8
sutter,California,10.8
tehama,California,15.6
tulare,California,17.0
ventura,California,6.4
yolo,California,8.2
yuba,California,7.7
adams,Colorado,7.3
arapahoe,Colorado,4.9
boulder,Colorado,4.4
broomfield,Colorado,4.3
denver,Colorado,8.8
douglas,Colorado,3.7
el paso,Colorado,6.2
jefferson,Colorado,3.5
larimer,Colorado,4.0
mesa,Colorado,3.5
pueblo,Colorado,11.3
weld,Colorado,5.7
capitol,Connecticut,8.3
greater bridgeport,Connecticut,8.4
lower connecticut river valley,Connecticut,5.7
naugatuck valley,Connecticut,12.0
northeastern connecticut,Connecticut,5.3
northwest hills,Connecticut,5.7
south central connecticut,Connecticut,7.3
southeastern connecticut,Connecticut,6.5
western connecticut,Connecticut,5.1
kent,Delaware,5.6
new castle,Delaware,6.7
sussex,Delaware,6.4
district of columbia,District of Columbia,13.8
alachua,Florida,13.2
bay,Florida,6.2
brevard,Florida,7.1
broward,Florida,8.1
charlotte,Florida,4.3
citrus,Florida,10.3
clay,Florida,8.2
collier,Florida,7.2
columbia,Florida,10.5
duval,Florida,8.8
escambia,Florida,10.8
flagler,Florida,7.3
hernando,Florida,5.9
highlands,Florida,9.3
hillsborough,Florida,8.0
indian river,Florida,6.0
lake,Florida,5.6
lee,Florida,7.7
leon,Florida,14.2
manatee,Florida,6.2
marion,Florida,9.4
martin,Florida,4.6
miami-dade,Florida,10.9
monroe,Florida,4.6
nassau,Florida,7.2
okaloosa,Florida,8.2
orange,Florida,9.3
osceola,Florida,13.1
palm beach,Florida,8.5
pasco,Florida,6.8
pinellas,Florida,6.0
polk,Florida,10.0
putnam,Florida,16.4
st. johns,Florida,3.7
st. lucie,Florida,8.4
santa rosa,Florida,7.2
sarasota,Florida,5.2
seminole,Florida,6.3
sumter,Florida,7.0
volusia,Florida,6.1
walton,Florida,6.3
barrow,Georgia,4.9
bartow,Georgia,7.2
bibb,Georgia,21.8
bulloch,Georgia,16.6
carroll,Georgia,12.6
catoosa,Georgia,7.9
chatham,Georgia,8.6
cherokee,Georgia,6.0
clarke,Georgia,8.9
clayton,Georgia,16.0
cobb,Georgia,5.6
columbia,Georgia,5.2
coweta,Georgia,4.5
dekalb,Georgia,9.3
dougherty,Georgia,18.1
douglas,Georgia,8.2
effingham,Georgia,4.7
fayette,Georgia,4.5
floyd,Georgia,12.1
forsyth,Georgia,2.7
fulton,Georgia,6.8
glynn,Georgia,7.3
gwinnett,Georgia,8.2
hall,Georgia,6.9
henry,Georgia,6.3
houston,Georgia,9.7
jackson,Georgia,3.1
liberty,Georgia,16.0
lowndes,Georgia,16.2
muscogee,Georgia,13.6
newton,Georgia,7.5
paulding,Georgia,3.6
richmond,Georgia,15.1
rockdale,Georgia,6.7
spalding,Georgia,11.9
troup,Georgia,8.0
walker,Georgia,8.7
walton,Georgia,7.2
whitfield,Georgia,13.6
hawaii,Hawaii,11.3
honolulu,Hawaii,5.3
kauai,Hawaii,8.0
maui,Hawaii,6.9
ada,Idaho,5.2
bannock,Idaho,6.8
bonneville,Idaho,5.1
canyon,Idaho,6.4
kootenai,Idaho,5.9
twin falls,Idaho,5.9
champaign,Illinois,5.4
cook,Illinois,9.9
dekalb,Illinois,7.5
dupage,Illinois,4.2
kane,Illinois,4.6
kankakee,Illinois,10.5
kendall,Illinois,2.5
lake,Illinois,5.9
lasalle,Illinois,11.1
mchenry,Illinois,4.9
mclean,Illinois,6.8
macon,Illinois,11.0
madison,Illinois,6.5
peoria,Illinois,11.6
rock island,Illinois,8.6
st. clair,Illinois,8.6
sangamon,Illinois,5.8
tazewell,Illinois,5.0
vermilion,Illinois,14.6
will,Illinois,6.0
williamson,Illinois,7.8
winnebago,Illinois,11.8
allen,Indiana,8.4
bartholomew,Indiana,4.0
boone,Indiana,4.1
clark,Indiana,7.7
delaware,Indiana,13.6
elkhart,Indiana,7.4
floyd,Indiana,7.9
grant,Indiana,13.2
hamilton,Indiana,3.6
hancock,Indiana,3.1
hendricks,Indiana,4.0
howard,Indiana,9.1
johnson,Indiana,4.1
kosciusko,Indiana,7.0
lake,Indiana,9.3
laporte,Indiana,10.0
madison,Indiana,9.4
marion,Indiana,12.3
monroe,Indiana,5.2
morgan,Indiana,9.4
porter,Indiana,5.5
st. joseph,Indiana,10.3
tippecanoe,Indiana,9.3
vanderburgh,Indiana,6.5
